,baseMean,log2FoldChange,lfcSE,pvalue,padj
Tbc1d15-201,540.423332365748,-4.28201363266998,0.238014157404867,6.03929264542754e-73,6.48740815971826e-69
Ldhb-201,1158.79296083631,3.97242383385876,0.236156384152611,1.99312980167825e-64,1.07051001648139e-60
Rdx-201,361.536740015716,2.86493108368798,0.171632124105237,2.27777537575483e-63,8.15595436211944e-60
Smc4-201,190.583339580037,3.67915033424765,0.230809993122808,9.88049858051648e-58,2.6534078937977e-54
E330034G19Rik-203,775.250848835381,-3.77250699613515,0.240641536875319,1.04735699515606e-56,2.25014176839327e-53
Skp1a-203,543.953581732087,2.84495989128377,0.183841537485395,2.71202707478006e-55,4.85543247288123e-52
Oosp1-201,804.166516121607,-5.21390709705153,0.338173293545829,8.05618352097053e-54,1.23627890546094e-50
Padi6-201,1734.36724127523,4.60585262793304,0.304922881967859,1.8906663730771e-52,2.53869227244928e-49
E330021D16Rik-203,433.418325855173,-3.35594905583306,0.225203388765469,7.46882631166415e-51,8.91445913776626e-48
Hsp90aa1-202,840.617713798943,3.56562531440499,0.241052063229837,2.35591664164712e-50,2.53072565645734e-47
Uchl1-201,630.862403338493,2.81646858876271,0.192835029986577,5.66558775621725e-49,5.53270397066234e-46
Accsl-201,524.039438996878,-4.81128834493228,0.342606879269513,1.19054667083199e-45,1.06573769483977e-42
Nlrp5-201,744.905248858156,4.42914543363648,0.316504892733646,2.33005040062757e-45,1.92533856950318e-42
Dnmt1-201,565.217090457435,2.75543334361135,0.200263812035981,7.66664231433158e-44,5.88250512432499e-41
C87499-201,270.801730215437,-4.30054544442589,0.316153983674911,1.92941477756033e-42,1.38171823603687e-39
Nlrp9b-201,208.430537293058,3.81140732855578,0.291217123896009,2.36814150208973e-40,1.58991100096549e-37
Bub1b-201,488.986988416675,-3.21510781337382,0.247061733438572,1.42536398315151e-39,9.00662347471386e-37
Mtmr14-201,258.456342372966,3.72915583384508,0.291747693322859,4.81923566081646e-38,2.87601274824947e-35
Cenpf-204,138.350900905,3.11919117171611,0.251864603508646,5.14267712293339e-36,2.90750724497634e-33
Slbp-201,492.40893040242,-2.75277300552703,0.230550871580517,1.17086071667196e-33,6.28869290924511e-31
Tle6-201,522.729664712268,2.68051815309067,0.226418672564268,4.28013076401053e-33,2.18938879366672e-30
Gadd45gip1-201,64.0862358208168,-2.97671305670179,0.25404599536938,1.02654814353999e-32,5.01235461723028e-30
Tubb3-201,261.747542036668,-2.97619236743858,0.257623389297185,8.63143715744261e-32,4.03125643240211e-29
Kit-201,93.1381467166318,2.97018587759864,0.259628714559193,4.39959182895978e-31,1.96918397611192e-28
Nlrp14-201,1998.50175387671,3.05509734903558,0.269408714010567,1.04112700854303e-30,4.47351453030769e-28
Tfap2e-201,51.7796919512556,-3.23618978663593,0.28780384224555,2.73275782904429e-30,1.12904940767668e-27
Eif4enif1-213,130.822080003203,2.44540337697126,0.216780543774941,3.18786501164056e-30,1.26829799833492e-27
Gyg-203,261.342359784567,3.04173375692013,0.274236039917047,4.40611252919744e-29,1.69037359959425e-26
Laptm4b-201,106.685970580751,2.85792636561584,0.257742997560288,5.28745908632508e-29,1.95854777604497e-26
Sipa1-201,33.857275792602,-5.26398389866599,0.483242205298376,9.00947649968877e-29,3.22599321865523e-26
Dcp1a-201,207.184252497694,-2.60710907996273,0.238124456035898,1.03851707261454e-28,3.59862915936302e-26
Fbxw19-201,251.307132902575,3.21840225656008,0.295149931518286,1.58999538864479e-28,5.33741577025699e-26
Otub1-201,74.6388771459379,-2.94254929636519,0.272070121190516,3.18414160935841e-28,1.036486338416e-25
Nlrp9a-202,149.346834060787,3.09286123354556,0.284592908564215,3.98928752487769e-28,1.2603801938893e-25
Zp2-201,1339.72018247687,5.08072386879617,0.47209753958206,4.61568555058035e-28,1.41661983383812e-25
G3bp2-202,218.743867913538,2.42181423869587,0.224251227411938,8.03928490300001e-28,2.39883328966739e-25
Fbxw24-201,589.506365033406,3.83866994467058,0.359256894247445,1.32117325539152e-27,3.80994701250269e-25
Oas1e-201,249.014046927758,2.88397480616833,0.266761648658408,1.34777496253121e-27,3.80994701250269e-25
Obox2-201,283.383137227161,-5.37524792949547,0.497574105728348,1.60505990902809e-27,4.42091116481533e-25
Rfpl4-201,526.296228337906,-3.20593513972645,0.302816813422795,4.12632990769592e-27,1.10812589671174e-24
Omt2b-201,519.819662229999,-5.32323974196037,0.497851680079543,9.34315019048986e-27,2.44790534990834e-24
Ddx19a-201,89.5265521116437,3.69658010665926,0.354001741204701,7.09041948891112e-26,1.81345919404484e-23
Rbbp7-201,377.118199681375,-2.66483572136925,0.26128755736347,2.13471620760546e-25,5.33281895397625e-23
C2cd5-204,168.771544990452,-4.08668368503018,0.400371652588229,4.55190544164868e-25,1.11128564214068e-22
Oosp3-201,472.659648932692,-6.08375271325086,0.592231282549079,1.03451742678156e-24,2.46950804410833e-22
Usp28-201,122.103890443587,-3.44147630534129,0.340671171834464,1.84809957807673e-24,4.315714275587e-22
Nlrp9c-202,193.484848970719,2.33484203181292,0.232503927212545,2.19240816794296e-24,5.01081883830709e-22
Cltb-202,38.1471985770165,-3.4416893277373,0.346494191614453,2.85101177892561e-24,6.38032677692061e-22
Obox5-201,117.903385154399,-4.02593634776132,0.398643219535446,3.33898898707305e-24,7.31988157125279e-22
Sart1-201,31.4185820487914,-3.63634853076911,0.367596628900835,4.82019804092564e-24,1.03557134711247e-21
Eif4e1b-201,147.493936738065,3.10195477966706,0.309944702339472,5.99718464679151e-24,1.26317171521244e-21
Ktn1-210,90.9011236894793,3.28649525361577,0.331220035014357,8.08362826228109e-24,1.66989105371968e-21
Mphosph8-201,107.933087877688,3.43355909091753,0.352474238449319,7.33907887895472e-23,1.48747896825909e-20
Atl2-201,129.787448510282,-4.08442564794753,0.420344296221398,1.43480961577197e-22,2.8542083134486e-20
Fbxw14-203,139.523145072944,3.20350145038758,0.334984892243613,2.76202256029736e-22,5.39448115322076e-20
Tcl1-201,480.571943712365,-4.80201640273731,0.51234701753087,5.58499307495212e-22,1.07132135019885e-19
Slc7a11-201,58.9800152143412,-3.02890208559333,0.321558939370311,8.26112764711366e-22,1.55686023132096e-19
Zp1-201,334.035313953504,4.10565869222838,0.43752602565916,1.20312302723265e-21,2.22826682043675e-19
Ssb-206,138.084461967246,4.98498317291039,0.52515035983217,1.66105516947461e-21,3.02424654754173e-19
Obox1-201,210.691230201077,-4.83350769371874,0.518015254011014,2.90103123337269e-21,5.19381291814823e-19
Prdx1-204,274.210553962837,1.910678997606,0.206395874975296,4.09413162056706e-21,7.20969866690678e-19
Prc1-202,137.203497923774,-2.48461919423387,0.272386279168209,1.68356362266654e-20,2.91690974752967e-18
H2ax-201,26.7351362126849,-3.86589061934773,0.431072415562652,2.20427783814275e-20,3.75846865671895e-18
Zswim3-201,97.4810668586726,-3.27823688865613,0.362425260346311,3.67275740727996e-20,6.16449376078145e-18
Sin3a-208,169.760659254858,-2.14360000043319,0.237505979164766,4.37428771314742e-20,7.22901517148148e-18
Spin1-201,766.342093131447,-2.36692297967943,0.264868037702948,6.56699812029881e-20,1.06882869406439e-17
Birc3-201,189.894225147553,-3.73992778347729,0.423264129569208,1.08080461881913e-19,1.73283630079927e-17
Plat-201,666.897096511031,-4.60268706042491,0.525497137239851,1.36785135252669e-19,2.16080282777083e-17
Myo10-202,92.5339370851961,2.23305867968133,0.253109454623069,2.17862291127285e-19,3.39170540766564e-17
Fxr1-201,105.272327382768,2.65980545150155,0.299692723257804,2.41777183430656e-19,3.71024357773159e-17
Trim75-201,87.8315294256657,-3.33876758868049,0.376821408660922,2.68226548557981e-19,4.05815434452088e-17
Uhrf1-201,308.958415972086,2.69260788175312,0.309107294897426,3.39999694974454e-19,5.07260656029942e-17
Eif2s2-201,85.7837420823546,3.95692289148194,0.452264655621235,8.57019897727488e-19,1.2611106495053e-16
Pecr-201,180.632808358616,3.23365391081399,0.378571449478323,1.50070527531097e-18,2.17845622532303e-16
Foxj3-201,55.0794476342824,2.45788354653131,0.287632353903383,2.02708833197788e-18,2.90333104828085e-16
Calm1-202,105.937078809967,2.81689416928424,0.332345520295086,3.60297645627904e-18,5.09252277544072e-16
Gle1-201,95.8428679963354,-3.52252769193153,0.415660190883329,4.06482588906894e-18,5.67069606498423e-16
Sorbs1-201,41.6001076872095,3.18843612792785,0.377260395041273,7.13443755938807e-18,9.82540105935213e-16
Aurkc-201,190.548642933836,-2.7406645557428,0.325501345391248,1.03257486927974e-17,1.40404041086113e-15
Ccdc14-201,95.7339459586776,-3.50570150623552,0.414413305896837,1.09419986131006e-17,1.46923686377409e-15
Ccdc69-201,204.958523789286,-2.41381230746672,0.28682133339604,1.70636864033373e-17,2.26293974499567e-15
Ccnb1-201,288.879638901264,-2.5004571864709,0.303681461876064,2.99382617739252e-17,3.9219122923842e-15
Osbpl9-218,49.5533579250276,-2.93235708812488,0.355685684845242,3.22305827356333e-17,4.171336382484e-15
Tcl1b1-201,306.072900691282,-5.0285806073246,0.594455741076875,3.46642347358161e-17,4.43289535157306e-15
Aspm-201,167.273567755232,2.39870778480458,0.293999778821141,7.12901006272508e-17,9.0093913051521e-15
Akap12-201,74.0762938623011,2.2863104423515,0.281653526870296,1.45419860454851e-16,1.81639551279769e-14
Adss-201,107.408960036415,5.42974611558561,0.65613732838236,1.53912855623382e-16,1.90038148862801e-14
Gemin7-202,34.3295011571806,-3.08193646770786,0.38803334790224,2.12990608967626e-16,2.59993763810254e-14
Pan2-201,100.808098865443,-2.74107708900438,0.342392307897212,2.41575889079642e-16,2.9157395511163e-14
Ddx3x-201,273.931810795919,-1.82853235211694,0.228238983216087,2.84047433953212e-16,3.39026392836156e-14
H3f3b-202,145.307236299913,-2.12645412527455,0.264508641924505,3.10269418841095e-16,3.6625429639462e-14
Fbxw15-201,241.038780062322,2.48464663704341,0.310392520633461,3.3727245777132e-16,3.93802254497774e-14
Wdr20-201,132.69754173427,-2.49467026345,0.311774587078289,3.4746661952079e-16,4.01342626547561e-14
Ralbp1-201,111.609923506625,2.71611405549889,0.343074942205918,5.56641156243581e-16,6.36110563868995e-14
Pld1-202,173.488290747891,-2.59286715368078,0.329866348036831,6.63562434073464e-16,7.5031449124391e-14
Zp3-201,759.753531470823,3.45678473945457,0.445352610605096,7.73093092638761e-16,8.6505895845058e-14
Csnk1e-201,74.7102147647157,3.71866393621404,0.472207701534631,8.78571691658285e-16,9.72950217710649e-14
Rnf38-202,56.1847580454389,-2.56285660187191,0.325479711155838,1.02105598891477e-15,1.11920239111454e-13
Ccndbp1-201,187.716745831565,-4.44888698755754,0.557029992778035,1.26004639031884e-15,1.36721397220253e-13
Zfp653-201,24.1227440566009,-3.87400999467958,0.50191863407536,1.46257449624356e-15,1.57109752386483e-13
Aldh9a1-201,75.8454616829176,2.66419933087943,0.340818078606017,1.77479393428579e-15,1.88760756852456e-13
Umodl1-203,78.7411606586492,-3.32811281495986,0.434952113033331,1.87176066070318e-15,1.97122088404642e-13
Mllt10-201,138.385600772381,-1.73847671308537,0.22332802612957,2.10510947738867e-15,2.19544524331156e-13
Rspo2-201,54.1313293512839,3.52020762305678,0.452286187851354,2.35857734212623e-15,2.43613825087692e-13
Zkscan14-201,18.2545982361466,-4.36770671106247,0.57187651841863,2.66155742415383e-15,2.70245018122144e-13
Anxa7-201,378.761485912518,-1.16252556663253,0.148718323422078,2.66672611440582e-15,2.70245018122144e-13
Dnaja2-201,56.2611742127545,2.95508296600203,0.380865870485648,2.83975423153713e-15,2.85090093038989e-13
Wasl-201,26.4520250511484,3.08532155344748,0.401438566292886,3.42291055523484e-15,3.40452825780858e-13
Ppp1r10-202,88.5101409636673,2.57947552047551,0.337088389030301,4.70777285877494e-15,4.63953174761105e-13
Fbxw18-201,215.820939592975,2.50748334945496,0.330538772009121,5.10955203995524e-15,4.98970981938175e-13
Slc30a3-201,90.870412805206,-2.10785560709454,0.277378149302556,5.21113211483896e-15,5.04306136735136e-13
Mphosph6-201,405.64780629057,-1.82223559470942,0.23918407996648,6.71885685216648e-15,6.44410359874753e-13
Scyl2-204,69.2833595663479,-2.80861741019975,0.368168453582684,7.32978780730121e-15,6.96783899345395e-13
Sfr1-201,105.679536939988,4.2329843931464,0.552534772507646,9.32499072016793e-15,8.78675879965298e-13
Crnkl1-201,136.683072256612,-1.99667192208911,0.263046170865655,9.45780120258105e-15,8.83440874070658e-13
Txnip-201,148.36558716145,-3.15462346217156,0.42326981562288,1.06388572352677e-14,9.85194865700393e-13
Lrrc14-202,10.4434802718903,-5.48179967991608,0.732496889567681,1.15028231163857e-14,1.05609680270269e-12
Hpf1-201,182.519895551855,-3.46924942507516,0.464079838030215,1.46176353467519e-14,1.33070032961703e-12
Stard13-202,80.2275047816017,-2.06893217710573,0.27557902356332,1.68927631009085e-14,1.52489127083999e-12
Ncapg-201,109.500969302106,2.06404370560454,0.275629248085201,2.07187924855907e-14,1.85264119205839e-12
H4c1-201,7.88604135273467,-9.75062452242481,2.70493535528284,2.0868514637783e-14,1.85264119205839e-12
Lpin2-204,39.4876860470285,5.54353222017029,0.721562228137651,2.31362262723716e-14,2.03712575916243e-12
Mdm4-210,232.66242967133,-1.57865806764496,0.219720926741081,2.67455395920409e-14,2.33577712437157e-12
Dnajb4-202,105.868209637867,-2.84987595215677,0.385923925995561,3.42434565399258e-14,2.96647750122486e-12
Chaf1a-201,42.6084575390824,-2.1228379988764,0.289784194134755,4.32718835360278e-14,3.70521649192615e-12
Atad1-203,94.8231997301228,-3.34683433023759,0.450352806711523,4.34609270138424e-14,3.70521649192615e-12
Mepce-201,21.0063302777842,-2.7980403624393,0.384725282222442,4.55105605587074e-14,3.84940505135145e-12
Hsp90b1-201,127.206073681813,2.78410143758334,0.37993908740946,4.81940049526139e-14,4.04453125938265e-12
Pdlim2-210,47.007325903091,-3.06841263226593,0.426708550466382,5.32341012270096e-14,4.43287376263982e-12
Atxn2l-201,249.707707842534,-1.84747360822402,0.252496313811905,5.79511445898445e-14,4.78854765526238e-12
Oog3-201,496.496770507432,-2.57899094547496,0.355785373044462,6.21898279525815e-14,5.09956589211168e-12
Sdhd-201,29.1376671982177,-5.15460827463792,0.71072083667694,7.00844182629592e-14,5.7033850074296e-12
Serbp1-201,57.2550426387478,3.08376567999604,0.421052653493715,8.12948970309568e-14,6.56593822486119e-12
Npm2-201,177.048906379572,2.65949147566465,0.370460367602535,1.02567985230933e-13,8.2222783384379e-12
Rsl1d1-201,155.434705629305,-2.14023502737082,0.294072256761714,1.26931996471633e-13,1.01000259710984e-11
Nasp-202,58.0887269418796,3.39969096373425,0.46871280695616,1.66823412903675e-13,1.31765963339065e-11
Npc1-201,86.8635025859897,-1.74432215920601,0.24240475874941,2.02364841189192e-13,1.58671760879876e-11
Marf1-201,38.278983437098,2.64623698799305,0.371681040061733,2.04064040211022e-13,1.58844631880203e-11
Rnf114-202,134.238443069054,1.65198319961228,0.229488681764313,2.06980085694315e-13,1.59955401476858e-11
Gbx2-201,22.0469637128831,-3.41592997933237,0.484671658403823,2.26260630392659e-13,1.73606549405567e-11
Lonp1-201,27.39615675933,-2.7554770758491,0.392134499674825,2.29608365733451e-13,1.74925749270123e-11
Zc3h6-202,117.421257123826,-3.64613017523347,0.518559751556827,2.44287282784621e-13,1.84798168427634e-11
Gcc2-201,35.2808860855534,3.70770113727767,0.520623124745718,2.50099199768335e-13,1.87871720553249e-11
Omt2a-203,288.225287735405,-6.73727071401821,1.24120818577329,3.07978029470122e-13,2.29743055039448e-11
Gpr1-201,18.0785352232714,-4.7950333041952,0.670624867198311,3.16700936748986e-13,2.34620790521215e-11
Oas1c-201,151.104063354882,1.56395615980542,0.219628902754792,3.74783889738323e-13,2.75748530381443e-11
mt-Atp6-201,331.379077429536,2.57438993858005,0.370983465607355,4.50321766091313e-13,3.29071864717883e-11
Baiap2l1-201,35.3625644937069,-2.49613393655951,0.353949088035974,4.61776025145812e-13,3.35162031224075e-11
