"","TE_zygote","TE_2cell","TE_4cell","TE_8cell","TE_GV","TE_MII","zygote","X2.cell","X4.cell","X8.cell","morula"
"TE_zygote",1.53673428858718,0.881701113598468,0.481276225458869,0.512994554245813,0.717994055645445,1.0079018090449,0.407154570524635,0.350346031567527,0.204249787393675,0.0351525064790799,-0.248719059973135
"TE_2cell",0.881701113598468,1.53673428858718,0.698338830200335,0.739766127807973,0.654524943982343,0.70640838785108,0.138994046492618,0.120227687876551,0.070509681300056,-0.016008689479415,-0.0168732555432001
"TE_4cell",0.481276225458869,0.698338830200335,1.53673428858718,1.13922979502473,0.405956931044611,0.386883083421008,-0.33048975681923,-0.39463682865657,-0.351325001223181,-0.237099507358819,0.360359247580982
"TE_8cell",0.512994554245813,0.739766127807973,1.13922979502473,1.53673428858718,0.448868167659913,0.390766264499651,-0.3383986780156,-0.415573162762103,-0.346444027552535,-0.252891386873585,0.37905168026053
"TE_GV",0.717994055645445,0.654524943982343,0.405956931044611,0.448868167659913,1.53673428858718,0.576280389035948,0.53244383029179,0.412390197775429,0.322750894901275,0.1682728622712,-0.241144779634447
"TE_MII",1.0079018090449,0.70640838785108,0.386883083421008,0.390766264499651,0.576280389035948,1.53673428858718,0.346852677659412,0.29094805902363,0.162001634309626,0.0163477496203492,-0.191594755716753
"zygote",0.407154570524635,0.138994046492618,-0.33048975681923,-0.3383986780156,0.53244383029179,0.346852677659412,1.53673428858718,1.28605040615363,0.957648426262767,0.496292249554983,-0.934129026747121
"X2.cell",0.350346031567527,0.120227687876551,-0.39463682865657,-0.415573162762103,0.412390197775429,0.29094805902363,1.28605040615363,1.53673428858718,1.20911673014775,0.780544397249861,-0.879676118718796
"X4.cell",0.204249787393675,0.070509681300056,-0.351325001223181,-0.346444027552535,0.322750894901275,0.162001634309626,0.957648426262767,1.20911673014775,1.53673428858718,1.15569354062363,-0.37017008354636
"X8.cell",0.0351525064790799,-0.016008689479415,-0.237099507358819,-0.252891386873585,0.1682728622712,0.0163477496203492,0.496292249554983,0.780544397249861,1.15569354062363,1.53673428858718,0.213699637374126
"morula",-0.248719059973135,-0.0168732555432001,0.360359247580982,0.37905168026053,-0.241144779634447,-0.191594755716753,-0.934129026747121,-0.879676118718796,-0.37017008354636,0.213699637374126,1.53673428858718
