transcript,p_val,conf_mid,maternal_x,paternal_x,maternal_y,paternal_y,fdr
Idh3g-201,4.3628105978742625e-27,0.47619047619047616,11,10,263,0,3.272107948405697e-25
Slc6a8-203,4.547391373011315e-09,0.49029126213592233,5,5,102,1,1.705271764879243e-07
Wtap-203,3.107706587743605e-08,-0.5882352941176471,10,7,0,51,7.769266469359012e-07
Ddx3x-201,4.302609572259398e-07,0.5925925925925926,11,16,36,0,8.06739294798637e-06
Slc13a2-201,1.577286558852832e-06,0.597254004576659,2,21,52,24,2.365929838279248e-05
Huwe1-201,1.9318032862873383e-05,0.36363636363636365,14,8,54,0,0.00024147541078591727
Tsen2-201,3.159633600483217e-05,0.43738819320214667,6,37,30,22,0.0003385321714803447
Lclat1-201,4.065614314171429e-05,-0.31386554621848745,50,18,59,81,0.00034661287863044395
Tmppe-201,4.1593545435653274e-05,0.5983333333333334,9,16,23,1,0.00034661287863044395
Klhdc4-201,0.00037880856024695756,-0.5925925925925926,11,0,88,128,0.0028410642018521816
Cbx3-201,0.000427824854219827,-0.5714285714285714,12,2,14,35,0.0029169876424079114
Snrnp70-201,0.0005165444220894829,-0.5137614678899083,15,0,53,56,0.003228402638059268
Tgoln1-201,0.0006596874319828912,0.5975609756097561,0,11,49,33,0.00353403981419406
Ddb1-201,0.0006184726074319384,-0.3697735191637631,32,9,23,33,0.00353403981419406
Nop14-201,0.0011289976835370354,0.42380204241948155,4,15,85,49,0.005644988417685177
Rps11-201,0.0012482847018122618,0.1337392176916693,49,105,4258,5164,0.005851334539744978
Lyar-201,0.001835484509030063,-0.4564459930313589,11,3,54,110,0.0076478521209585966
Stip1-201,0.0017944633116857712,-0.15726131666498644,78,34,764,653,0.0076478521209585966
Rpl38-203,0.0019940329439542604,0.15296929582643876,44,67,1992,1634,0.00787118267350366
Noc2l-201,0.0021378076879322045,0.18692961055389895,31,53,293,234,0.008016778829745767
Atp6v0a4-202,0.0026876261774262038,0.4218266253869969,4,15,43,25,0.008763998404650664
Ppp2ca-201,0.00266835405643337,-0.5666666666666667,9,1,19,38,0.008763998404650664
Pgd-201,0.0026225692722381994,0.28484848484848485,12,23,145,86,0.008763998404650664
Ctsc-201,0.0031871045945944857,0.334788384892769,6,16,582,376,0.009959701858107768
Ankrd10-201,0.0038503968041642745,0.2541751012145749,14,24,259,157,0.011384064950585533
Mrto4-201,0.004098263382210792,0.308098016336056,7,18,504,353,0.011384064950585533
Srpk1-204,0.0040403953014140105,-0.5205882352941176,8,2,19,49,0.011384064950585533
Ccnh-201,0.004343494680308936,0.4879227053140096,0,11,101,106,0.011634360750827506
Bcat1-201,0.004778928323048305,-0.28460038986354774,26,1,116,55,0.012359297387193893
Ccar1-201,0.005448865396848743,0.3991228070175439,4,12,74,40,0.013622163492121857
Scaf4-201,0.005775498089305214,-0.5666666666666667,11,1,7,13,0.013900803659937636
Sdf4-201,0.005931009561573391,-0.38652482269503546,15,0,173,109,0.013900803659937636
Ulk1-201,0.006432458464806871,-0.42242703533026116,17,4,12,19,0.01418924661354457
Dnmt1-201,0.0063774735040885355,0.43103448275862066,0,14,25,33,0.01418924661354457
Actr5-201,0.00699972418438507,0.33416875522138684,6,15,106,65,0.014999408966539436
Umps-201,0.007680439918297937,-0.36235294117647054,15,2,156,144,0.01556845929384717
Mtf1-201,0.007632362662253148,0.44417651314203044,2,9,236,141,0.01556845929384717
Rtf2-201,0.009038972019144685,0.30588235294117644,7,14,326,184,0.017840076353575037
Atp13a3-202,0.00973771827094956,-0.20040160642570282,46,14,94,72,0.018461025766308724
Atg7-201,0.010092027418915435,0.36925287356321834,2,14,86,88,0.018461025766308724
Cth-201,0.00996311723922049,0.20413573700954402,8,38,155,255,0.018461025766308724
Ppat-202,0.010695801623884385,-0.26025824964132,29,12,38,47,0.018655467948635554
Plk1-201,0.010661464008104674,0.30984517665740374,5,17,123,106,0.018655467948635554
Eprs-201,0.012442808321611718,-0.27758571016997985,19,7,121,146,0.021209332366383612
Znrf2-201,0.01319639576997025,-0.40289413556740283,10,3,37,64,0.021669256378077918
Gmnn-201,0.013290477245221123,-0.3991769547325103,12,0,146,97,0.021669256378077918
Wdr48-201,0.013852584932205049,-0.5016835016835016,10,1,11,16,0.021722773754304897
Ddx52-201,0.013902575202755134,-0.35233918128654973,12,4,68,103,0.021722773754304897
Wdr73-201,0.016167441012189414,-0.35000000000000003,14,1,119,85,0.02474608318192257
Rpn2-202,0.017560179612370164,0.41980783444198083,2,9,74,49,0.026340269418555246
Rpl28-201,0.017942662283360125,0.22924528301886793,8,24,381,414,0.02638626806376489
Gtf3c5-201,0.0212264373726212,0.3660714285714285,2,12,57,55,0.02969855822866231
Card6-201,0.02212854124126553,-0.5692307692307692,8,2,3,10,0.02969855822866231
Zfc3h1-201,0.02212854124126553,0.5692307692307692,2,8,10,3,0.02969855822866231
Abhd6-202,0.021651529832675466,-0.3705821205821205,10,3,59,89,0.02969855822866231
Pkm-201,0.022174923477401194,0.4537037037037037,3,9,19,8,0.02969855822866231
Dnaja2-201,0.024519339096326743,-0.2835337650323774,19,4,51,43,0.03226228828464045
BC055324-201,0.027248021754774646,-0.3562610229276896,10,4,29,52,0.035234510889794804
Ltn1-201,0.029899827108882397,-0.3987854251012146,11,2,17,21,0.03676208251092098
Txlna-202,0.029698012483907254,0.3955014058106842,2,9,56,41,0.03676208251092098
Tnpo3-201,0.029228829459242406,-0.4166666666666667,11,1,16,16,0.03676208251092098
Ppil1-201,0.032837839991164734,-0.32306099697404045,11,3,415,482,0.03942566791259173
Usp15-211,0.03311756104657705,0.4304347826086957,2,8,29,17,0.03942566791259173
Kdm2b-202,0.03381803111164177,0.3902439024390244,0,11,16,25,0.0396305052089552
Ralbp1-201,0.035787524786213824,-0.22580645161290322,21,0,72,21,0.04129329783024672
Dnajc21-201,0.03654958400782003,0.3391789557592667,3,10,110,83,0.041533618190704585
Mcm7-201,0.03875592952841792,0.3870466321243523,1,9,94,99,0.0433835032034529
