transcript,p_val,conf_mid,maternal_x,paternal_x,maternal_y,paternal_y,fdr
Rps11-201,0.0009867124048782657,0.21729611384783798,16,47,1435,1610,0.007590730589184784
Eif3d-201,0.00133323293712685,-0.536231884057971,11,1,35,57,0.007590730589184784
Nin-202,0.00032400315643902364,-0.3899456521739131,25,7,36,56,0.007590730589184784
Mysm1-201,0.001367583117438087,-0.5074626865671642,14,0,33,34,0.007590730589184784
Tsr1-201,0.0015181461178369567,-0.4352941176470588,12,5,23,62,0.007590730589184784
Mrps9-201,0.0010333130619986529,-0.6081081081081081,10,0,29,45,0.007590730589184784
Ddx21-201,0.0013711592848748544,-0.43846153846153846,18,2,30,35,0.007590730589184784
Rpl28-201,0.0011534308853680107,0.5238095238095238,0,12,132,120,0.007590730589184784
Baz1a-205,0.0021204965393254067,0.39935064935064934,6,22,27,17,0.009424429063668475
Ncoa3-201,0.0024573273110369874,0.6174242424242424,7,17,10,1,0.00982930924414795
Ctsa-202,0.0027168625711865325,-0.403921568627451,16,1,137,118,0.009879500258860118
Cdc42-202,0.0030526874794137874,-0.5757575757575757,10,1,11,22,0.010175624931379293
Brca2-201,0.003691194083638077,0.21013071895424834,25,43,130,95,0.01135752025734793
Folr1-204,0.005778044712217925,-0.28120978120978124,25,5,143,116,0.0165086991777655
Znhit3-201,0.00760206157981081,-0.473421926910299,10,0,634,570,0.020272164212828826
Ccnb1-201,0.009551571512888771,-0.28450423517688095,21,6,110,113,0.023878928782221927
Rpl26-206,0.010202303443339932,-0.33461538461538465,15,3,389,391,0.024005419866682195
Sgo2a-201,0.013525020087020743,-0.5217391304347826,10,0,11,12,0.027267385279511933
Rps19-203,0.013633692639755966,0.22360660173160174,8,27,955,1157,0.027267385279511933
Tpx2-206,0.012513432618952196,-0.3010033444816054,18,8,36,56,0.027267385279511933
Cdk1-201,0.017182133425177652,0.3308080808080809,4,14,73,59,0.02799106265022938
Naalad2-204,0.017494414156393363,0.4163636363636364,4,7,39,11,0.02799106265022938
Rnpep-202,0.016104273412365533,-0.4666666666666667,13,0,8,7,0.02799106265022938
Pa2g4-202,0.01644416965376607,-0.3585434173669467,15,2,33,30,0.02799106265022938
Pemt-202,0.016528750264309437,-0.2872869318181818,15,7,101,155,0.02799106265022938
Cct6a-201,0.019225327426669644,0.26587301587301587,7,21,65,61,0.028443470560529347
Dctd-203,0.019910429392370543,-0.38701298701298703,10,4,18,37,0.028443470560529347
Spdl1-201,0.019320191437585708,0.2830523513753328,1,22,16,33,0.028443470560529347
Rps6-201,0.02452116109513269,-0.26991619304498604,15,6,659,824,0.03382229116570026
Nup155-201,0.02603337654047218,-0.3293650793650793,18,3,19,17,0.03471116872062957
Eef1b2-204,0.029419547732688827,-0.3256814921090388,13,4,36,46,0.03796070675185655
Eif3g-201,0.034256338338998334,-0.35910652920962205,10,2,92,102,0.04152283435030101
Polr1e-204,0.033952904704962726,-0.3642857142857143,11,1,58,47,0.04152283435030101
Eif4b-201,0.03703999095582421,-0.32411347517730493,13,2,51,43,0.04357645994802849
Isyna1-204,0.04267303146183322,-0.3715798764342454,9,2,46,57,0.048769178813523675
Ltv1-201,0.04426276988643035,-0.3773869346733668,9,1,104,95,0.04918085542936706
