,20210301-ITP-MII-25-B,20210301-ITP-MII-50-A,20210301-ITP-MII-50-B
total_reads,29378123.0,24675567.0,28911387.0
clipped_reads,25893337.0,21891106.0,26278109.0
clipped_reads_%,88.14,88.72,90.89
filtered_out,14179874.0,10637224.0,13470440.0
filtered_out_%,54.76,48.59,51.26
filter_kept,11713463.0,11253882.0,12807669.0
filter_kept_%,45.24,51.41,48.74
transcriptome_aligned_once,541133.0,619005.0,674088.0
transcriptome_aligned_once_%,4.62,5.5,5.26
transcriptome_aligned_many,269600.0,296531.0,279359.0
transcriptome_aligned_many_%,2.3,2.63,2.18
transcriptome_total_aligned,810733.0,915536.0,953447.0
transcriptome_total_aligned_%,6.92,8.14,7.44
transcriptome_unaligned,10902730.0,10338346.0,11854222.0
transcriptome_unaligned_%,93.08,91.86,92.56
qpass_aligned_reads,570951.0,661249.0,714571.0
qpass_aligned_reads_%,70.42,72.23,74.95
after_dedup,203263.0,233925.0,240765.0
after_dedup_%,35.6,35.38,33.69
genome_aligned_once,2044635.0,2165758.0,2549868.0
genome_aligned_once_%,18.75,20.95,21.51
genome_aligned_many,0.0,0.0,0.0
genome_aligned_many_%,0.0,0.0,0.0
genome_total_aligned,2044635.0,2165758.0,2549868.0
genome_total_aligned_%,18.75,20.95,21.51
genome_unaligned,8858095.0,8172588.0,9304354.0
genome_unaligned_%,81.25,79.05,78.49
