,20210513-ITP-1cell-cross-50-A,20210513-ITP-1cell-cross-50-B,20210513-ITP-1cell-cross-50-C,20210513-ITP-1cell-cross-50-D,20210513-ITP-1cell-cross-50-E,20210513-ITP-1cell-cross-50-blank,20210513-ITP-2cell-cross-50-A,20210513-ITP-2cell-cross-50-B,20210513-ITP-2cell-cross-50-C,20210513-ITP-2cell-cross-50-D,20210513-ITP-2cell-cross-50-E,20210513-ITP-2cell-cross-50-F,20210513-ITP-2cell-cross-50-G,20210513-ITP-4cell-cross-50-A,20210513-ITP-4cell-cross-50-B,20210513-ITP-4cell-cross-50-C,20210513-ITP-4cell-cross-50-D,20210513-ITP-4cell-cross-50-blank,20210513-ITP-8cell-cross-50-A,20210513-ITP-8cell-cross-50-B,20210513-ITP-8cell-cross-50-C,20210513-ITP-8cell-cross-50-D,20210513-ITP-8cell-cross-50-blank,20210513-MII-SS3-test
total_reads,37085059.0,60469037.0,32160471.0,33676015.0,46685730.0,1277331.0,11302044.0,61716791.0,46359612.0,18873848.0,20851551.0,46129676.0,15611482.0,11238361.0,55110601.0,56432637.0,42127261.0,779224.0,23754234.0,53302424.0,24020697.0,35039279.0,1143992.0,31801069.0
clipped_reads,29942481.0,48590009.0,26208079.0,27856960.0,38724676.0,579965.0,8580487.0,54625475.0,39480188.0,15250966.0,15717367.0,37831229.0,11142910.0,7287852.0,43640368.0,47173137.0,35047820.0,443896.0,18970212.0,44964420.0,19216806.0,28734732.0,715206.0,29544.0
clipped_reads_%,80.74,80.36,81.49,82.72,82.95,45.4,75.92,88.51,85.16,80.8,75.38,82.01,71.38,64.85,79.19,83.59,83.2,56.97,79.86,84.36,80.0,82.01,62.52,0.09
filtered_out,14940202.0,21888576.0,14122428.0,15191367.0,19778281.0,25887.0,3004742.0,23471055.0,22838899.0,6523227.0,6339195.0,15768657.0,3734823.0,1801836.0,10614145.0,27798471.0,13665662.0,18368.0,7722146.0,23450782.0,7282520.0,11405020.0,24034.0,886.0
filtered_out_%,49.9,45.05,53.89,54.53,51.07,4.46,35.02,42.97,57.85,42.77,40.33,41.68,33.52,24.72,24.32,58.93,38.99,4.14,40.71,52.15,37.9,39.69,3.36,3.0
filter_kept,15002279.0,26701433.0,12085651.0,12665593.0,18946395.0,554078.0,5575745.0,31154420.0,16641289.0,8727739.0,9378172.0,22062572.0,7408087.0,5486016.0,33026223.0,19374666.0,21382158.0,425528.0,11248066.0,21513638.0,11934286.0,17329712.0,691172.0,28658.0
filter_kept_%,50.1,54.95,46.11,45.47,48.93,95.54,64.98,57.03,42.15,57.23,59.67,58.32,66.48,75.28,75.68,41.07,61.01,95.86,59.29,47.85,62.1,60.31,96.64,97.0
transcriptome_aligned_once,1417438.0,2126755.0,867763.0,1305570.0,1954290.0,20372.0,214784.0,1543305.0,1203693.0,518743.0,535039.0,1547470.0,379000.0,297482.0,2695752.0,1252463.0,1742092.0,17094.0,903033.0,1875252.0,948894.0,1031266.0,33394.0,5045.0
transcriptome_aligned_once_%,9.45,7.96,7.18,10.31,10.31,3.68,3.85,4.95,7.23,5.94,5.71,7.01,5.12,5.42,8.16,6.46,8.15,4.02,8.03,8.72,7.95,5.95,4.83,17.6
transcriptome_aligned_many,1037519.0,1186675.0,550554.0,883019.0,1469152.0,24917.0,220994.0,1060176.0,1004376.0,511201.0,555136.0,1318489.0,432360.0,369364.0,2916393.0,1138607.0,1159314.0,21229.0,506806.0,1080245.0,518221.0,650050.0,41298.0,4874.0
transcriptome_aligned_many_%,6.92,4.44,4.56,6.97,7.75,4.5,3.96,3.4,6.04,5.86,5.92,5.98,5.84,6.73,8.83,5.88,5.42,4.99,4.51,5.02,4.34,3.75,5.98,17.01
transcriptome_total_aligned,2454957.0,3313430.0,1418317.0,2188589.0,3423442.0,45289.0,435778.0,2603481.0,2208069.0,1029944.0,1090175.0,2865959.0,811360.0,666846.0,5612145.0,2391070.0,2901406.0,38323.0,1409839.0,2955497.0,1467115.0,1681316.0,74692.0,9919.0
transcriptome_total_aligned_%,16.36,12.41,11.74,17.28,18.07,8.17,7.82,8.36,13.27,11.8,11.62,12.99,10.95,12.16,16.99,12.34,13.57,9.01,12.53,13.74,12.29,9.7,10.81,34.61
transcriptome_unaligned,12547322.0,23388003.0,10667334.0,10477004.0,15522953.0,508789.0,5139967.0,28550939.0,14433220.0,7697795.0,8287997.0,19196613.0,6596727.0,4819170.0,27414078.0,16983596.0,18480752.0,387205.0,9838227.0,18558141.0,10467171.0,15648396.0,616480.0,18739.0
transcriptome_unaligned_%,83.64,87.59,88.26,82.72,81.93,91.83,92.18,91.64,86.73,88.2,88.38,87.01,89.05,87.84,83.01,87.66,86.43,90.99,87.47,86.26,87.71,90.3,89.19,65.39
qpass_aligned_reads,1600362.0,2251317.0,927914.0,1449612.0,2246404.0,20639.0,228129.0,1610824.0,1292411.0,573022.0,572480.0,1642833.0,405750.0,308022.0,2855044.0,1345664.0,1857155.0,16869.0,931166.0,1996611.0,986253.0,1066528.0,33341.0,4828.0
qpass_aligned_reads_%,65.19,67.95,65.42,66.24,65.62,45.57,52.35,61.87,58.53,55.64,52.51,57.32,50.01,46.19,50.87,56.28,64.01,44.02,66.05,67.56,67.22,63.43,44.64,48.67
after_dedup,364866.0,353570.0,268720.0,339588.0,457278.0,14954.0,87465.0,374338.0,270424.0,191067.0,162538.0,354498.0,165165.0,129937.0,902628.0,441544.0,371102.0,14370.0,283914.0,523253.0,370678.0,336858.0,27868.0,2861.0
after_dedup_%,22.8,15.71,28.96,23.43,20.36,72.46,38.34,23.24,20.92,33.34,28.39,21.58,40.71,42.18,31.62,32.81,19.98,85.19,30.49,26.21,37.58,31.58,83.58,59.26
genome_aligned_once,2007116.0,3970045.0,1451652.0,1667161.0,2487560.0,5542.0,904091.0,4681695.0,2718295.0,1426864.0,1309501.0,2772805.0,1018493.0,358744.0,2289013.0,2496792.0,3345782.0,7059.0,1590349.0,3207919.0,1764848.0,2629481.0,13191.0,2517.0
genome_aligned_once_%,16.0,16.97,13.61,15.91,16.03,1.09,17.59,16.4,18.83,18.54,15.8,14.44,15.44,7.44,8.35,14.7,18.1,1.82,16.16,17.29,16.86,16.8,2.14,13.43
genome_aligned_many,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genome_aligned_many_%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genome_total_aligned,2007116.0,3970045.0,1451652.0,1667161.0,2487560.0,5542.0,904091.0,4681695.0,2718295.0,1426864.0,1309501.0,2772805.0,1018493.0,358744.0,2289013.0,2496792.0,3345782.0,7059.0,1590349.0,3207919.0,1764848.0,2629481.0,13191.0,2517.0
genome_total_aligned_%,16.0,16.97,13.61,15.91,16.03,1.09,17.59,16.4,18.83,18.54,15.8,14.44,15.44,7.44,8.35,14.7,18.1,1.82,16.16,17.29,16.86,16.8,2.14,13.43
genome_unaligned,10540206.0,19417958.0,9215682.0,8809843.0,13035393.0,503247.0,4235876.0,23869244.0,11714925.0,6270931.0,6978496.0,16423808.0,5578234.0,4460426.0,25125065.0,14486804.0,15134970.0,380146.0,8247878.0,15350222.0,8702323.0,13018915.0,603289.0,16222.0
genome_unaligned_%,84.0,83.03,86.39,84.09,83.97,98.91,82.41,83.6,81.17,81.46,84.2,85.56,84.56,92.56,91.65,85.3,81.9,98.18,83.84,82.71,83.14,83.2,97.86,86.57
