,20210614-ITP-GV-50-A,20210614-ITP-GV-50-B,20210614-ITP-GV-50-C,20210614-ITP-GV-50-D,20210614-ITP-GV-50-E,20210614-ITP-GV-50-F,20210614-ITP-MII-50-A,20210614-ITP-MII-50-B,20210614-ITP-MII-50-C,20210614-ITP-MII-50-D,20210614-ITP-MII-50-E,20210614-ITP-MII-50-F
total_reads,17255218.0,29023853.0,31546023.0,29812772.0,20694464.0,17978166.0,18241972.0,18131760.0,17046774.0,33476569.0,41168690.0,24111772.0
clipped_reads,13935949.0,23524609.0,25997628.0,23979403.0,16981727.0,15345654.0,16212540.0,14750676.0,14219112.0,29175709.0,35944741.0,20492501.0
clipped_reads_%,80.76,81.05,82.41,80.43,82.06,85.36,88.87,81.35,83.41,87.15,87.31,84.99
filtered_out,5147806.0,7047450.0,7102255.0,6085960.0,6202918.0,4808388.0,9873157.0,4956654.0,6016791.0,14454091.0,14923721.0,9006826.0
filtered_out_%,36.94,29.96,27.32,25.38,36.53,31.33,60.9,33.6,42.31,49.54,41.52,43.95
filter_kept,8788143.0,16477159.0,18895373.0,17893443.0,10778809.0,10537266.0,6339383.0,9794022.0,8202321.0,14721618.0,21021020.0,11485675.0
filter_kept_%,63.06,70.04,72.68,74.62,63.47,68.67,39.1,66.4,57.69,50.46,58.48,56.05
transcriptome_aligned_once,1624661.0,1926792.0,2190082.0,1907583.0,1780939.0,1153496.0,561899.0,504899.0,1031485.0,1563076.0,2576398.0,1049750.0
transcriptome_aligned_once_%,18.49,11.69,11.59,10.66,16.52,10.95,8.86,5.16,12.58,10.62,12.26,9.14
transcriptome_aligned_many,925330.0,1572606.0,1752367.0,1957599.0,1196482.0,779518.0,451983.0,567285.0,842574.0,1055903.0,1622967.0,782807.0
transcriptome_aligned_many_%,10.53,9.54,9.27,10.94,11.1,7.4,7.13,5.79,10.27,7.17,7.72,6.82
transcriptome_total_aligned,2549991.0,3499398.0,3942449.0,3865182.0,2977421.0,1933014.0,1013882.0,1072184.0,1874059.0,2618979.0,4199365.0,1832557.0
transcriptome_total_aligned_%,29.02,21.24,20.86,21.6,27.62,18.34,15.99,10.95,22.85,17.79,19.98,15.96
transcriptome_unaligned,6238152.0,12977761.0,14952924.0,14028261.0,7801388.0,8604252.0,5325501.0,8721838.0,6328262.0,12102639.0,16821655.0,9653118.0
transcriptome_unaligned_%,70.98,78.76,79.14,78.4,72.38,81.66,84.01,89.05,77.15,82.21,80.02,84.04
qpass_aligned_reads,1773031.0,2142502.0,2439866.0,2394805.0,2044747.0,1248518.0,616217.0,518029.0,1212963.0,1727606.0,2885280.0,1113832.0
qpass_aligned_reads_%,69.53,61.22,61.89,61.96,68.68,64.59,60.78,48.32,64.72,65.96,68.71,60.78
after_dedup,382706.0,443062.0,677341.0,610381.0,586192.0,427053.0,198962.0,139085.0,311302.0,317673.0,410908.0,251251.0
after_dedup_%,21.58,20.68,27.76,25.49,28.67,34.2,32.29,26.85,25.66,18.39,14.24,22.56
genome_aligned_once,967104.0,1395383.0,1158538.0,968994.0,1108448.0,741319.0,644580.0,930400.0,868392.0,1619844.0,2668655.0,1314972.0
genome_aligned_once_%,15.5,10.75,7.75,6.91,14.21,8.62,12.1,10.67,13.72,13.38,15.86,13.62
genome_aligned_many,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genome_aligned_many_%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genome_total_aligned,967104.0,1395383.0,1158538.0,968994.0,1108448.0,741319.0,644580.0,930400.0,868392.0,1619844.0,2668655.0,1314972.0
genome_total_aligned_%,15.5,10.75,7.75,6.91,14.21,8.62,12.1,10.67,13.72,13.38,15.86,13.62
genome_unaligned,5271048.0,11582378.0,13794386.0,13059267.0,6692940.0,7862933.0,4680921.0,7791438.0,5459870.0,10482795.0,14153000.0,8338146.0
genome_unaligned_%,84.5,89.25,92.25,93.09,85.79,91.38,87.9,89.33,86.28,86.62,84.14,86.38
